movie_id,title,tags
630586,Wrong Turn,"['Horror', 'Thriller', 'Jen', 'and', 'a', 'group', 'of', 'friends', 'set', 'out', 'to', 'hike', 'the', 'Appalachian', 'Trail.', 'Despite', 'warnings', 'to', 'stick', 'to', 'the', 'trail,', 'the', 'hikers', 'stray', 'off', 'course—and', 'cross', 'into', 'land', 'inhabited', 'by', 'The', 'Foundation,', 'a', 'hidden', 'community', 'of', 'mountain', 'dwellers', 'who', 'use', 'deadly', 'means', 'to', 'protect', 'their', 'way', 'of', 'life.', 'MikeP.Nelson', 'CharlotteVega', 'AdainBradley', 'BillSage']"
618416,Penguin Bloom,"['Drama', 'When', 'an', 'unlikely', 'ally', 'enters', 'the', 'Bloom', ""family's"", 'world', 'in', 'the', 'form', 'of', 'an', 'injured', 'baby', 'magpie', 'they', 'name', 'Penguin,', 'the', 'bird’s', 'arrival', 'makes', 'a', 'profound', 'difference', 'in', 'the', 'struggling', 'family’s', 'life.', 'GlendaIvin', 'NaomiWatts', 'AndrewLincoln', 'JackiWeaver']"
602269,The Little Things,"['Thriller', 'Crime', 'Deputy', 'Sheriff', 'Joe', '""Deke""', 'Deacon', 'joins', 'forces', 'with', 'Sgt.', 'Jim', 'Baxter', 'to', 'search', 'for', 'a', 'serial', 'killer', ""who's"", 'terrorizing', 'Los', 'Angeles.', 'As', 'they', 'track', 'the', 'culprit,', 'Baxter', 'is', 'unaware', 'that', 'the', 'investigation', 'is', 'dredging', 'up', 'echoes', 'of', ""Deke's"", 'past,', 'uncovering', 'disturbing', 'secrets', 'that', 'could', 'threaten', 'more', 'than', 'his', 'case.', 'JohnLeeHancock', 'DenzelWashington', 'RamiMalek', 'JaredLeto']"
644092,Finding 'Ohana,"['Action', 'Adventure', 'Comedy', 'Family', 'Two', 'Brooklyn', ""siblings'"", 'summer', 'in', 'a', 'rural', 'Oahu', 'town', 'takes', 'an', 'exciting', 'turn', 'when', 'a', 'journal', 'pointing', 'to', 'long-lost', 'treasure', 'sets', 'them', 'on', 'an', 'adventure,', 'leading', 'them', 'to', 'reconnect', 'with', 'their', 'Hawaiian', 'heritage.', 'JudeWeng', 'KeaPeahu', 'AlexAiono', 'LindsayWatson']"
581734,Nomadland,"['Drama', 'A', 'woman', 'in', 'her', 'sixties', 'embarks', 'on', 'a', 'journey', 'through', 'the', 'western', 'United', 'States', 'after', 'losing', 'everything', 'in', 'the', 'Great', 'Recession,', 'living', 'as', 'a', 'van-dwelling', 'modern-day', 'nomad.', 'ChloéZhao', 'FrancesMcDormand', 'DavidStrathairn', 'LindaMay']"
722913,Malcolm & Marie,"['Romance', 'Drama', 'As', 'a', 'filmmaker', 'and', 'his', 'girlfriend', 'return', 'home', 'from', 'his', 'movie', 'premiere,', 'smoldering', 'tensions', 'and', 'painful', 'revelations', 'push', 'them', 'toward', 'a', 'romantic', 'reckoning.', 'SamLevinson', 'Zendaya', 'JohnDavidWashington', 'nan']"
458220,Palmer,"['Drama', 'After', '12', 'years', 'in', 'prison,', 'former', 'high', 'school', 'football', 'star', 'Eddie', 'Palmer', 'returns', 'home', 'to', 'put', 'his', 'life', 'back', 'together—and', 'forms', 'an', 'unlikely', 'bond', 'with', 'Sam,', 'an', 'outcast', 'boy', 'from', 'a', 'troubled', 'home.', 'But', ""Eddie's"", 'past', 'threatens', 'to', 'ruin', 'his', 'new', 'life', 'and', 'family.', 'FisherStevens', 'JustinTimberlake', 'JunoTemple', 'AlishaWainwright']"
605368,Falling,"['Thriller', 'Action', 'Goro,', 'a', 'criminal', 'mastermind,', 'plot', 'to', 'steal', 'a', 'massive', 'cache', 'of', 'gold', 'from', 'the', 'Rossini', 'family.', 'Unbeknownst', 'to', 'Goro', 'and', 'his', 'soldiers', 'of', 'fortune,', 'one', 'of', ""Rossini's"", 'guest', 'is', 'a', 'highly', 'trained', 'foreign', 'operative', 'who', 'fights', 'to', 'not', 'only', 'save', 'the', 'hostages', 'and', 'the', 'gold,', 'but', 'his', 'imperiled', 'family.', 'ViggoMortensen', 'ViggoMortensen', 'LanceHenriksen', 'TerryChen']"
613911,Bliss,"['Science Fiction', 'Romance', 'Drama', 'A', 'mind-bending', 'love', 'story', 'following', 'Greg', 'who,', 'after', 'recently', 'being', 'divorced', 'and', 'then', 'fired,', 'meets', 'the', 'mysterious', 'Isabel,', 'a', 'woman', 'living', 'on', 'the', 'streets', 'and', 'convinced', 'that', 'the', 'polluted,', 'broken', 'world', 'around', 'them', 'is', 'just', 'a', 'computer', 'simulation.', 'Doubtful', 'at', 'first,', 'Greg', 'eventually', 'discovers', 'there', 'may', 'be', 'some', 'truth', 'to', 'Isabel’s', 'wild', 'conspiracy.', 'MikeCahill', 'OwenWilson', 'SalmaHayek', 'nan']"
586791,Little Fish,"['Romance', 'Science Fiction', 'Drama', 'A', 'couple', 'fights', 'to', 'hold', 'their', 'relationship', 'together', 'as', 'a', 'memory', 'loss', 'virus', 'spreads', 'and', 'threatens', 'to', 'erase', 'the', 'history', 'of', 'their', 'love', 'and', 'courtship.', 'ChadHartigan', 'OliviaCooke', ""JackO'Connell"", 'RaúlCastillo']"
686548,Son of the South,"['History', 'Drama', 'Based', 'on', 'a', 'true', 'story,', 'Bob', 'Zellner,', 'grandson', 'of', 'a', 'Klansman,', 'comes', 'of', 'age', 'in', 'the', 'Deep', 'South', 'and', 'eventually', 'joins', 'the', 'Civil', 'Rights', 'Movement.', 'BarryAlexanderBrown', 'LucasTill', 'LucyHale', 'CedrictheEntertainer']"
670129,PVT Chat,"['Drama', 'Jack', 'is', 'an', 'internet', 'gambler', 'living', 'in', 'NYC.', 'After', 'the', 'death', 'of', 'his', 'roommate,', 'he', 'becomes', 'fixated', 'on', 'Scarlet', '-', 'a', 'cam', 'girl', 'from', 'San', 'Francisco.', 'His', 'obsession', 'reaches', 'a', 'boiling', 'point', 'when', 'fantasy', 'materializes', 'in', 'reality', 'and', 'Jack', 'sees', 'Scarlet', 'on', 'a', 'rainy', 'NYC', 'Chinatown', 'street.', 'BenHozie', 'JuliaFox', 'NikkiBelfiglio', 'AustinBrown']"
586101,Music,"['Music', 'Drama', 'Zu,', 'a', 'free', 'spirit', 'estranged', 'from', 'her', 'family,', 'suddenly', 'finds', 'herself', 'the', 'sole', 'guardian', 'of', 'her', 'half-sister,', 'Music,', 'a', 'teenager', 'on', 'the', 'autism', 'spectrum', 'whose', 'whole', 'world', 'order', 'has', 'been', 'beautifully', 'crafted', 'by', 'her', 'late', 'grandmother.', 'The', 'film', 'soon', 'challenges', 'whether', 'it', 'is', 'Zu', 'or', 'Music', 'who', 'has', 'a', 'better', 'view', 'of', 'the', 'world,', 'and', 'that', 'love,', 'trust,', 'and', 'being', 'able', 'to', 'be', 'there', 'for', 'each', 'other', 'is', 'everything.', 'Sia', 'KateHudson', 'LeslieOdomJr.', 'MaddieZiegler']"
583406,Judas and the Black Messiah,"['Drama', 'History', 'Bill', ""O'Neal"", 'infiltrates', 'the', 'Black', 'Panthers', 'on', 'the', 'orders', 'of', 'FBI', 'Agent', 'Mitchell', 'and', 'J.', 'Edgar', 'Hoover.', 'As', 'Black', 'Panther', 'Chairman', 'Fred', 'Hampton', 'ascends—falling', 'for', 'a', 'fellow', 'revolutionary', 'en', 'route—a', 'battle', 'wages', 'for', 'O’Neal’s', 'soul.', 'ShakaKing', 'DanielKaluuya', 'LakeithStanfield', 'JessePlemons']"
644583,The Mauritanian,"['Drama', 'Thriller', 'A', 'detainee', 'at', 'the', 'U.S', ""military's"", 'Guantanamo', 'Bay', 'detention', 'center', 'is', 'held', 'without', 'charges', 'for', 'over', 'a', 'decade', 'and', 'seeks', 'help', 'from', 'a', 'defense', 'attorney', 'for', 'his', 'release.', 'KevinMacdonald', 'JodieFoster', 'TaharRahim', 'ShaileneWoodley']"
556867,Breaking News in Yuba County,"['Comedy', 'Drama', 'Crime', 'Thriller', 'An', 'overlooked', 'pencil-pusher', 'catches', 'her', 'husband', 'in', 'bed', 'with', 'another', 'woman,', 'the', 'shock', 'of', 'which', 'causes', 'him', 'to', 'die', 'of', 'a', 'heart', 'attack.', 'So', 'she', 'buries', 'his', 'body', 'and', 'takes', 'advantage', 'of', 'the', 'growing', 'celebrity', 'status', 'that', 'comes', 'from', 'having', 'a', 'missing', 'husband.', 'But', 'she', 'quickly', 'finds', 'herself', 'in', 'over', 'her', 'head,', 'dodging', 'cops', 'and', 'criminals,', 'all', 'while', 'trying', 'to', 'keep', 'the', 'truth', 'from', 'her', 'sister,', 'a', 'local', 'news', 'anchor', 'who’s', 'desperate', 'for', 'a', 'story.', 'TateTaylor', 'AllisonJanney', 'MilaKunis', 'Awkwafina']"
595813,Barb and Star Go to Vista Del Mar,"['Comedy', 'The', 'story', 'of', 'best', 'friends', 'Barb', 'and', 'Star,', 'who', 'leave', 'their', 'small', 'midwestern', 'town', 'for', 'the', 'first', 'time', 'to', 'go', 'on', 'vacation', 'in', 'Vista', 'Del', 'Mar,', 'Florida,', 'where', 'they', 'soon', 'find', 'themselves', 'tangled', 'up', 'in', 'adventure,', 'love,', 'and', 'a', 'villain’s', 'evil', 'plot', 'to', 'kill', 'everyone', 'in', 'town.', 'JoshGreenbaum', 'KristenWiig', 'AnnieMumolo', 'JamieDornan']"
615643,Minari,"['Drama', 'A', 'Korean-American', 'family', 'moves', 'to', 'Arkansas', 'in', 'search', 'of', 'their', 'own', 'American', 'Dream.', 'With', 'the', 'arrival', 'of', 'their', 'sly,', 'foul-mouthed,', 'but', 'incredibly', 'loving', 'grandmother,', 'the', 'stability', 'of', 'their', 'relationships', 'is', 'challenged', 'even', 'more', 'in', 'this', 'new', 'life', 'in', 'the', 'rugged', 'Ozarks,', 'testing', 'the', 'undeniable', 'resilience', 'of', 'family', 'and', 'what', 'really', 'makes', 'a', 'home.', 'LeeIsaacChung', 'StevenYeun', 'HanYe-ri', 'AlanKim']"
614409,To All the Boys: Always and Forever,"['Romance', 'Comedy', 'Drama', 'Senior', 'year', 'of', 'high', 'school', 'takes', 'center', 'stage', 'as', 'Lara', 'Jean', 'returns', 'from', 'a', 'family', 'trip', 'to', 'Korea', 'and', 'considers', 'her', 'college', 'plans', '—', 'with', 'and', 'without', 'Peter.', 'MichaelFimognari', 'LanaCondor', 'NoahCentineo', 'JordanFisher']"
506281,The World to Come,"['Drama', 'Romance', 'In', '1856,', 'two', 'women', 'forge', 'a', 'close', 'connection', 'despite', 'their', 'isolation', 'on', 'the', 'American', 'frontier.', 'MonaFastvold', 'KatherineWaterston', 'VanessaKirby', 'ChristopherAbbott']"
599960,French Exit,"['Comedy', 'Drama', '“My', 'plan', 'was', 'to', 'die', 'before', 'the', 'money', 'ran', 'out,”', 'says', '60-year-old', 'penniless', 'Manhattan', 'socialite', 'Frances', 'Price,', 'but', 'things', 'didn’t', 'go', 'as', 'planned.', 'Her', 'husband', 'Franklin', 'has', 'been', 'dead', 'for', '12', 'years', 'and', 'with', 'his', 'vast', 'inheritance', 'gone,', 'she', 'cashes', 'in', 'the', 'last', 'of', 'her', 'possessions', 'and', 'resolves', 'to', 'live', 'out', 'her', 'twilight', 'days', 'anonymously', 'in', 'a', 'borrowed', 'apartment', 'in', 'Paris,', 'accompanied', 'by', 'her', 'directionless', 'son', 'Malcolm', 'and', 'a', 'cat', 'named', 'Small', 'Frank—who', 'may', 'or', 'may', 'not', 'embody', 'the', 'spirit', 'of', 'Frances’s', 'dead', 'husband.', 'AzazelJacobs', 'MichellePfeiffer', 'LucasHedges', 'TracyLetts']"
598896,Land,"['Drama', 'Edee,', 'in', 'the', 'aftermath', 'of', 'an', 'unfathomable', 'event,', 'finds', 'herself', 'unable', 'to', 'stay', 'connected', 'to', 'the', 'world', 'she', 'once', 'knew', 'and', 'in', 'the', 'face', 'of', 'that', 'uncertainty,', 'retreats', 'to', 'the', 'magnificent,', 'but', 'unforgiving,', 'wilds', 'of', 'the', 'Rockies.', 'After', 'a', 'local', 'hunter', 'brings', 'her', 'back', 'from', 'the', 'brink', 'of', 'death,', 'she', 'must', 'find', 'a', 'way', 'to', 'live', 'again.', 'RobinWright', 'RobinWright', 'DemiánBichir', 'KimDickens']"
643586,Willy's Wonderland,"['Action', 'Horror', 'Comedy', 'When', 'his', 'car', 'breaks', 'down,', 'a', 'quiet', 'loner', 'agrees', 'to', 'clean', 'an', 'abandoned', 'family', 'fun', 'center', 'in', 'exchange', 'for', 'repairs.', 'He', 'soon', 'finds', 'himself', 'waging', 'war', 'against', 'possessed', 'animatronic', 'mascots', 'while', 'trapped', 'inside', ""Willy's"", 'Wonderland.', 'KevinLewis', 'NicolasCage', 'EmilyTosta', 'RicReitz']"
672647,The Map of Tiny Perfect Things,"['Fantasy', 'Romance', 'The', 'story', 'of', 'two', 'teenagers', 'trapped', 'in', 'an', 'endless', 'time', 'loop', 'who', 'set', 'out', 'to', 'find', 'all', 'the', 'tiny', 'things', 'that', 'make', 'that', 'one', 'day', 'perfect.', 'IanSamuels', 'KathrynNewton', 'KyleAllen', 'AlMadrigal']"
